	IDNPROCEEDING	IDNCASE	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY	CASE_TYPE	NAT	LANG	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED	DATE_RELEASED
110	8621826	8864654	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W				T			2019-04-18 00:00:00.000	N	2019-04-22 13:11:03.577	OTO	2019-05-20 00:00:00.000	V	N	RMV	GT	SP			N		0.0		
111	8621831	8864659	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0					T			2019-04-25 00:00:00.000	N	2019-04-30 11:05:19.780	OTO	2019-05-28 00:00:00.000	V	N	RMV	GT	SP			N		0.0		
112	8621834	8864662	2019-03-28 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W				C			2019-05-17 00:00:00.000	N	2019-05-17 17:28:58.720	BAL	2019-06-17 00:00:00.000	V	N	RMV	ES	SP			N		0.0		
113	8621841	8864669	2019-03-28 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W				T			2019-05-15 00:00:00.000	N	2019-05-15 09:59:03.957	EPD	2019-06-14 00:00:00.000	V	D	RMV	ES	SP			N		0.0	2019-05-09 00:00:00.000	
114	8621846	8864672	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	GT					2019-04-18 00:00:00.000	Y			2019-05-20 00:00:00.000		N	RMV	GT	SP			N		0.0		
115	8621848	8864674	2019-03-29 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	ES					2019-04-18 00:00:00.000	Y			2019-05-20 00:00:00.000		N	RMV	ES	SP			N		0.0		
116	8621852	8864677	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	GT					2019-04-18 00:00:00.000	Y			2019-05-20 00:00:00.000		N	RMV	GT	SP			N		0.0		
117	8621690	8864553	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
118	8621710	8864564	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
119	8621772	8864607	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0														N	RMV	GT	SP			N		0.0		
