	IDNCASE	ALIEN_CITY	ALIEN_STATE	NAT	LANG	CUSTODY	SITE_TYPE	E_28_DATE	ATTY_NBR	CASE_TYPE	UPDATE_SITE	LATEST_HEARING	LATEST_TIME	LATEST_CAL_TYPE	UP_BOND_DATE	UP_BOND_RSN	CORRECTIONAL_FAC	RELEASE_MONTH	RELEASE_YEAR	INMATE_HOUSING	DATE_OF_ENTRY	C_ASY_TYPE	C_BIRTHDATE	C_RELEASE_DATE	UPDATED_CITY	UPDATED_STATE	ADDRESS_CHANGEDON	ZBOND_MRG_FLAG	GENDER	DATE_DETAINED	DATE_RELEASED	LPR	DETENTION_DATE	DETENTION_LOCATION	DCO_LOCATION	DETENTION_FACILITY_TYPE	CASEPRIORITY_CODE	IDNPROCEEDING	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY_right	CASE_TYPE_right	NAT_right	LANG_right	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC_right	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED_right	DATE_RELEASED_right
13479	8960872	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		4/2008						M									8750844	2019-06-02 00:00:00.000	2019-06-05 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13480	8960873	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M									5/2016						M									8750845	2019-06-02 00:00:00.000	2019-06-12 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13481	8962900	SAN BERNARDINO	CA	GT	SP	N	I			RMV	SND	2019-09-12 00:00:00.000	1230.0	M							2019-06-03 00:00:00.000		10/2014						F									8753502	2019-06-03 00:00:00.000		SND	SYP	JDV						2019-09-12 00:00:00.000	1230.0														N	RMV	GT	SP			N		0.0		
13482	8962901			GT	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		11/1988						F									8753503	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13483	8962902			GT	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		6/2019						F									8753504	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13484	8962903			GT	SP	N	I			RMV	ELP	2020-01-07 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		8/1993						M									8753505	2019-06-03 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2020-01-07 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13485	8962904			GT	SP	N	I			RMV	ELP	2020-01-07 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		10/2013						M									8753506	2019-06-03 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2020-01-07 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13486	8962905			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		11/1987						M									8753507	2019-06-03 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13487	8962906			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		7/2006						M									8753508	2019-06-03 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13488	8962907			ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		6/1993						M									8753509	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13489	8962908			ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		6/1990						F									8753510	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
